hour,every_20_minutes,probability
0,0,0.011993987900271652
0,1,0.011712013373648977
0,2,0.010906371869012763
1,0,0.010898818979906797
1,1,0.010302140740535601
1,2,0.009886731839707553
2,0,0.009597204423978913
2,1,0.009360547231992025
2,2,0.008862056550998367
3,0,0.008851986032190413
3,1,0.008632952248117443
3,2,0.008189849420567524
4,0,0.0071047510190106215
4,1,0.00695621086659332
4,2,0.006699412636990526
5,0,0.006535766706361295
5,1,0.0065760487815931055
5,2,0.006593672189507023
6,0,0.0066087779677189516
6,1,0.007036775017056941
6,2,0.00731371428427564
7,0,0.008116838159209867
7,1,0.008544835208547857
7,2,0.009770920873416097
8,0,0.011049876762026088
8,1,0.0124521965060335
8,2,0.014650087235869174
9,0,0.015395305627657672
9,1,0.016012124904644775
9,2,0.01695623604289034
10,0,0.018006087628619407
10,1,0.01858010720067271
10,2,0.01843156704825541
11,0,0.01853730749573891
11,1,0.01855493090365283
11,2,0.018615354016500545
12,0,0.017731665991102697
12,1,0.017542843763453584
12,2,0.01727093975563886
13,0,0.01808413414938104
13,1,0.018728647353090013
13,2,0.018809211503553636
14,0,0.018975375063884855
14,1,0.017900347181135905
14,2,0.017220587161599098
15,0,0.01648795691832054
15,1,0.017006588636930102
15,2,0.016618873662823924
16,0,0.01753277324464563
16,1,0.017142540640837464
16,2,0.017039317823055948
17,0,0.017019176785440043
17,1,0.01668181440537363
17,2,0.01633689913620125
18,0,0.016475368769810598
18,1,0.016661673367757722
18,2,0.016812731149877014
19,0,0.016858048484512802
19,1,0.017253316347724944
19,2,0.016616356033121938
20,0,0.01677496670434719
20,1,0.016767413815241227
20,2,0.01712239960322156
21,0,0.016973859450804256
21,1,0.01683287218749292
21,2,0.016258852615439617
22,0,0.01449147656464392
22,1,0.013992985883650262
22,2,0.01353981253729239
23,0,0.012880193555371488
23,1,0.012897816963285406
23,2,0.012366597096165902
