hour,probability
0,0.03461237314293339
1,0.03108769156014995
2,0.027819808206969304
3,0.02567478770087538
4,0.02076037452259447
5,0.019705487677461424
6,0.020959267269051535
7,0.02643259424117382
8,0.038152160503928764
9,0.04836366657519279
10,0.055017761877547526
11,0.055707592415892286
12,0.052545449510195144
13,0.05562199300602469
14,0.05409630940661986
15,0.050113419218074565
16,0.051714631708539044
17,0.050037890327014924
18,0.049949773287445334
19,0.050727720865359684
20,0.05066478012280998
21,0.05006558425373679
22,0.04202427498558657
23,0.038144607614822794
